reset-0 	 urng_seed1- fff00a10 	,urng_seed2- ff11119e	, urng_seed3- f111ac6c 	 and	 output is a6de34e1 	, valid-1

reset-0 	 urng_seed1- fff01420 	,urng_seed2- ff1111ad	, urng_seed3- f111acf8 	 and	 output is a97f35ce 	, valid-1

reset-0 	 urng_seed1- fff01e30 	,urng_seed2- ff1111bc	, urng_seed3- f111ad84 	 and	 output is a9bc36b6 	, valid-1

reset-0 	 urng_seed1- fff02840 	,urng_seed2- ff1111cb	, urng_seed3- f111ae10 	 and	 output is abfd379f 	, valid-1

reset-0 	 urng_seed1- fff03250 	,urng_seed2- ff1111da	, urng_seed3- f111ae9c 	 and	 output is afba3045 	, valid-1

reset-1 	 urng_seed1- fff03c60 	,urng_seed2- ff1111e9	, urng_seed3- f111af28 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff04670 	,urng_seed2- ff1111f8	, urng_seed3- f111afb4 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff05080 	,urng_seed2- ff111207	, urng_seed3- f111b040 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff05a90 	,urng_seed2- ff111216	, urng_seed3- f111b0cc 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff064a0 	,urng_seed2- ff111225	, urng_seed3- f111b158 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff06eb0 	,urng_seed2- ff111234	, urng_seed3- f111b1e4 	 and	 output is 95f40fea 	, valid-1

reset-0 	 urng_seed1- fff078c0 	,urng_seed2- ff111243	, urng_seed3- f111b270 	 and	 output is 94350ec2 	, valid-1

reset-0 	 urng_seed1- fff082d0 	,urng_seed2- ff111252	, urng_seed3- f111b2fc 	 and	 output is 92720998 	, valid-1

reset-0 	 urng_seed1- fff08ce0 	,urng_seed2- ff111261	, urng_seed3- f111b388 	 and	 output is 9cd30b70 	, valid-1

reset-0 	 urng_seed1- fff096f0 	,urng_seed2- ff111270	, urng_seed3- f111b414 	 and	 output is 9ed00849 	, valid-1

reset-1 	 urng_seed1- fff0a100 	,urng_seed2- ff11127f	, urng_seed3- f111b4a0 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff0ab10 	,urng_seed2- ff11128e	, urng_seed3- f111b52c 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff0b520 	,urng_seed2- ff11129d	, urng_seed3- f111b5b8 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff0bf30 	,urng_seed2- ff1112ac	, urng_seed3- f111b644 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff0c940 	,urng_seed2- ff1112bb	, urng_seed3- f111b6d0 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff0d350 	,urng_seed2- ff1112ca	, urng_seed3- f111b75c 	 and	 output is 902a04da 	, valid-1

reset-0 	 urng_seed1- fff0dd60 	,urng_seed2- ff1112d9	, urng_seed3- f111b7e8 	 and	 output is 928b03b3 	, valid-1

reset-0 	 urng_seed1- fff0e770 	,urng_seed2- ff1112e8	, urng_seed3- f111b874 	 and	 output is 9308028b 	, valid-1

reset-0 	 urng_seed1- fff0f180 	,urng_seed2- ff1112f7	, urng_seed3- f111b900 	 and	 output is 8f89016d 	, valid-1

reset-0 	 urng_seed1- fff0fb90 	,urng_seed2- ff111306	, urng_seed3- f111b98c 	 and	 output is 8c0600b7 	, valid-1

reset-1 	 urng_seed1- fff105a0 	,urng_seed2- ff111315	, urng_seed3- f111ba18 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff10fb0 	,urng_seed2- ff111324	, urng_seed3- f111baa4 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff119c0 	,urng_seed2- ff111333	, urng_seed3- f111bb30 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff123d0 	,urng_seed2- ff111342	, urng_seed3- f111bbbc 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff12de0 	,urng_seed2- ff111351	, urng_seed3- f111bc48 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff137f0 	,urng_seed2- ff111360	, urng_seed3- f111bcd4 	 and	 output is 9b401dc3 	, valid-1

reset-0 	 urng_seed1- fff14200 	,urng_seed2- ff11136f	, urng_seed3- f111bd60 	 and	 output is 9bc11eab 	, valid-1

reset-0 	 urng_seed1- fff14c10 	,urng_seed2- ff11137e	, urng_seed3- f111bdec 	 and	 output is 9ffe1ffd 	, valid-1

reset-0 	 urng_seed1- fff15620 	,urng_seed2- ff11138d	, urng_seed3- f111be78 	 and	 output is 9e1f1ec5 	, valid-1

reset-0 	 urng_seed1- fff16030 	,urng_seed2- ff11139c	, urng_seed3- f111bf04 	 and	 output is 989c11ae 	, valid-1

reset-1 	 urng_seed1- fff16a40 	,urng_seed2- ff1113ab	, urng_seed3- f111bf90 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff17450 	,urng_seed2- ff1113ba	, urng_seed3- f111c01c 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff17e60 	,urng_seed2- ff1113c9	, urng_seed3- f111c0a8 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff18870 	,urng_seed2- ff1113d8	, urng_seed3- f111c134 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff19280 	,urng_seed2- ff1113e7	, urng_seed3- f111c1c0 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff19c90 	,urng_seed2- ff1113f6	, urng_seed3- f111c24c 	 and	 output is 6bb6144c 	, valid-1

reset-0 	 urng_seed1- fff1a6a0 	,urng_seed2- ff111405	, urng_seed3- f111c2d8 	 and	 output is 6c571577 	, valid-1

reset-0 	 urng_seed1- fff1b0b0 	,urng_seed2- ff111414	, urng_seed3- f111c364 	 and	 output is 6ed46a9f 	, valid-1

reset-0 	 urng_seed1- fff1bac0 	,urng_seed2- ff111423	, urng_seed3- f111c3f0 	 and	 output is 6cd56bc6 	, valid-1

reset-0 	 urng_seed1- fff1c4d0 	,urng_seed2- ff111432	, urng_seed3- f111c47c 	 and	 output is 6d5268ef 	, valid-1

reset-1 	 urng_seed1- fff1cee0 	,urng_seed2- ff111441	, urng_seed3- f111c508 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff1d8f0 	,urng_seed2- ff111450	, urng_seed3- f111c594 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff1e300 	,urng_seed2- ff11145f	, urng_seed3- f111c620 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff1ed10 	,urng_seed2- ff11146e	, urng_seed3- f111c6ac 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff1f720 	,urng_seed2- ff11147d	, urng_seed3- f111c738 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff20130 	,urng_seed2- ff11148c	, urng_seed3- f111c7c4 	 and	 output is 600c6c5c 	, valid-1

reset-0 	 urng_seed1- fff20b40 	,urng_seed2- ff11149b	, urng_seed3- f111c850 	 and	 output is 5e8d6c84 	, valid-1

reset-0 	 urng_seed1- fff21550 	,urng_seed2- ff1114aa	, urng_seed3- f111c8dc 	 and	 output is 410a6da3 	, valid-1

reset-0 	 urng_seed1- fff21f60 	,urng_seed2- ff1114b9	, urng_seed3- f111c968 	 and	 output is 41eb6edb 	, valid-1

reset-0 	 urng_seed1- fff22970 	,urng_seed2- ff1114c8	, urng_seed3- f111c9f4 	 and	 output is 42286ff2 	, valid-1

reset-1 	 urng_seed1- fff23380 	,urng_seed2- ff1114d7	, urng_seed3- f111ca80 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff23d90 	,urng_seed2- ff1114e6	, urng_seed3- f111cb0c 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff247a0 	,urng_seed2- ff1114f5	, urng_seed3- f111cb98 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff251b0 	,urng_seed2- ff111504	, urng_seed3- f111cc24 	 and	 output is 00000000 	, valid-0

reset-1 	 urng_seed1- fff25bc0 	,urng_seed2- ff111513	, urng_seed3- f111ccb0 	 and	 output is 00000000 	, valid-0

reset-0 	 urng_seed1- fff265d0 	,urng_seed2- ff111522	, urng_seed3- f111cd3c 	 and	 output is 4dc27465 	, valid-1

reset-0 	 urng_seed1- fff26fe0 	,urng_seed2- ff111531	, urng_seed3- f111cdc8 	 and	 output is 4d23779c 	, valid-1

reset-0 	 urng_seed1- fff279f0 	,urng_seed2- ff111540	, urng_seed3- f111ce54 	 and	 output is 4c6076b4 	, valid-1

reset-0 	 urng_seed1- fff28400 	,urng_seed2- ff11154f	, urng_seed3- f111cee0 	 and	 output is 4a2171ef 	, valid-1

